"year","jurisdiction","cause_subgroup","deaths"
"2015","New Hampshire","Heart failure","11"
"2015","New Jersey","Diabetes","1911"
"2015","New Jersey","Ischemic heart disease","10728"
"2015","New Jersey","Hypertensive diseases","1607"
"2015","New Jersey","Sepsis","1938"
"2015","New Jersey","Alzheimer disease and dementia","5698"
"2015","New Jersey","Heart failure","1975"
"2015","New Jersey","Chronic lower respiratory disease","3158"
"2015","New Jersey","Renal failure","1550"
"2015","New Jersey","Other diseases of the respiratory system","2587"
"2015","New Jersey","Malignant neoplasms","15915"
"2015","New Jersey","Cerebrovascular diseases","3332"
"2015","New Jersey","Other diseases of the circulatory system","5573"
"2015","New Jersey","Influenza and pneumonia","1349"
"2015","New Mexico","Chronic lower respiratory disease","1071"
"2015","New Mexico","Hypertensive diseases","82"
"2015","New Mexico","Heart failure","74"
"2015","New Mexico","Other diseases of the circulatory system","759"
"2015","New Mexico","Influenza and pneumonia","49"
"2015","New Mexico","Other diseases of the respiratory system","24"
"2015","New Mexico","Malignant neoplasms","3447"
"2015","New Mexico","Alzheimer disease and dementia","1275"
"2015","New Mexico","Ischemic heart disease","2250"
"2015","New Mexico","Diabetes","428"
"2015","New Mexico","Cerebrovascular diseases","714"
"2015","New York","Influenza and pneumonia","2710"
"2015","New York","Heart failure","2810"
"2015","New York","Sepsis","2075"
"2015","New York","Malignant neoplasms","21731"
"2015","New York","Ischemic heart disease","17310"
"2015","New York","Alzheimer disease and dementia","7845"
"2015","New York","Other diseases of the respiratory system","2429"
"2015","New York","Renal failure","1722"
"2015","New York","Diabetes","2151"
"2015","New York","Hypertensive diseases","2466"
"2015","New York","Chronic lower respiratory disease","5217"
"2015","New York","Cerebrovascular diseases","4311"
"2015","New York","Other diseases of the circulatory system","6734"
"2015","New York City","Hypertensive diseases","3353"
"2015","New York City","Cerebrovascular diseases","1837"
"2015","New York City","Diabetes","1851"
"2015","New York City","Chronic lower respiratory disease","1741"
"2015","New York City","Sepsis","168"
"2015","New York City","Alzheimer disease and dementia","3065"
"2015","New York City","Heart failure","107"
"2015","New York City","Other diseases of the circulatory system","1867"
"2015","New York City","Ischemic heart disease","13024"
"2015","New York City","Malignant neoplasms","13317"
"2015","New York City","Renal failure","124"
"2015","New York City","Influenza and pneumonia","2120"
"2015","New York City","Other diseases of the respiratory system","492"
"2015","North Carolina","Influenza and pneumonia","2120"
"2015","North Carolina","Renal failure","1805"
"2015","North Carolina","Chronic lower respiratory disease","5237"
"2015","North Carolina","Sepsis","1574"
"2015","North Carolina","Ischemic heart disease","10645"
"2015","North Carolina","Alzheimer disease and dementia","9072"
"2015","North Carolina","Heart failure","2534"
"2015","North Carolina","Other diseases of the respiratory system","2119"
"2015","North Carolina","Hypertensive diseases","2022"
"2015","North Carolina","Diabetes","2735"
"2015","North Carolina","Cerebrovascular diseases","5027"
"2015","North Carolina","Malignant neoplasms","19565"
"2015","North Carolina","Other diseases of the circulatory system","5194"
"2015","North Dakota","Alzheimer disease and dementia","415"
"2015","North Dakota","Cerebrovascular diseases","79"
"2015","North Dakota","Influenza and pneumonia","34"
"2015","North Dakota","Ischemic heart disease","841"
"2015","North Dakota","Other diseases of the circulatory system","198"
"2015","North Dakota","Chronic lower respiratory disease","52"
"2015","North Dakota","Malignant neoplasms","1406"
"2015","Ohio","Sepsis","1946"
"2015","Ohio","Heart failure","3250"
"2015","Ohio","Ischemic heart disease","15991"
"2015","Ohio","Cerebrovascular diseases","5890"
"2015","Ohio","Diabetes","3611"
"2015","Ohio","Influenza and pneumonia","2377"
"2015","Ohio","Malignant neoplasms","25292"
"2015","Ohio","Hypertensive diseases","3308"
"2015","Ohio","Other diseases of the circulatory system","7999"
"2015","Ohio","Alzheimer disease and dementia","11113"
"2015","Ohio","Chronic lower respiratory disease","7129"
"2015","Ohio","Renal failure","2069"
"2015","Ohio","Other diseases of the respiratory system","2761"
"2015","Oklahoma","Sepsis","36"
"2015","Oklahoma","Malignant neoplasms","8015"
"2015","Oklahoma","Heart failure","813"
"2015","Oklahoma","Other diseases of the circulatory system","1596"
"2015","Oklahoma","Hypertensive diseases","2178"
"2015","Oklahoma","Diabetes","1418"
"2015","Oklahoma","Renal failure","337"
"2015","Oklahoma","Other diseases of the respiratory system","334"
"2015","Oklahoma","Alzheimer disease and dementia","2724"
"2015","Oklahoma","Ischemic heart disease","6205"
"2015","Oklahoma","Influenza and pneumonia","446"
"2015","Oklahoma","Cerebrovascular diseases","1794"
"2015","Oklahoma","Chronic lower respiratory disease","2819"
"2015","Oregon","Cerebrovascular diseases","1878"
"2015","Oregon","Other diseases of the respiratory system","459"
"2015","Oregon","Renal failure","87"
"2015","Oregon","Heart failure","980"
"2015","Oregon","Malignant neoplasms","8081"
"2015","Oregon","Ischemic heart disease","3447"
"2015","Oregon","Other diseases of the circulatory system","2534"
"2015","Oregon","Chronic lower respiratory disease","2087"
"2015","Oregon","Hypertensive diseases","797"
